Mes,UsuariosNuevos,Estacion,Año
1,404,Invierno,1998
2,404,Invierno,1998
3,504,Primavera,1998
4,504,Primavera,1998
5,504,Primavera,1998
6,605,Verano,1998
7,605,Verano,1998
8,605,Verano,1998
9,504,Otoño,1998
10,504,Otoño,1998
11,504,Otoño,1998
12,404,Invierno,1998
1,412,Invierno,1999
2,412,Invierno,1999
3,515,Primavera,1999
4,515,Primavera,1999
5,515,Primavera,1999
6,617,Verano,1999
7,617,Verano,1999
8,617,Verano,1999
9,515,Otoño,1999
10,515,Otoño,1999
11,515,Otoño,1999
12,412,Invierno,1999
1,420,Invierno,2000
2,420,Invierno,2000
3,525,Primavera,2000
4,525,Primavera,2000
5,525,Primavera,2000
6,630,Verano,2000
7,630,Verano,2000
8,630,Verano,2000
9,525,Otoño,2000
10,525,Otoño,2000
11,525,Otoño,2000
12,420,Invierno,2000
1,428,Invierno,2001
2,428,Invierno,2001
3,535,Primavera,2001
4,535,Primavera,2001
5,535,Primavera,2001
6,642,Verano,2001
7,642,Verano,2001
8,642,Verano,2001
9,535,Otoño,2001
10,535,Otoño,2001
11,535,Otoño,2001
12,428,Invierno,2001
1,437,Invierno,2002
2,437,Invierno,2002
3,546,Primavera,2002
4,546,Primavera,2002
5,546,Primavera,2002
6,655,Verano,2002
7,655,Verano,2002
8,655,Verano,2002
9,546,Otoño,2002
10,546,Otoño,2002
11,546,Otoño,2002
12,437,Invierno,2002
1,446,Invierno,2003
2,446,Invierno,2003
3,557,Primavera,2003
4,557,Primavera,2003
5,557,Primavera,2003
6,668,Verano,2003
7,668,Verano,2003
8,668,Verano,2003
9,557,Otoño,2003
10,557,Otoño,2003
11,557,Otoño,2003
12,446,Invierno,2003
1,454,Invierno,2004
2,454,Invierno,2004
3,568,Primavera,2004
4,568,Primavera,2004
5,568,Primavera,2004
6,682,Verano,2004
7,682,Verano,2004
8,682,Verano,2004
9,568,Otoño,2004
10,568,Otoño,2004
11,568,Otoño,2004
12,454,Invierno,2004
1,464,Invierno,2005
2,464,Invierno,2005
3,579,Primavera,2005
4,579,Primavera,2005
5,579,Primavera,2005
6,695,Verano,2005
7,695,Verano,2005
8,695,Verano,2005
9,579,Otoño,2005
10,579,Otoño,2005
11,579,Otoño,2005
12,464,Invierno,2005
1,473,Invierno,2006
2,473,Invierno,2006
3,591,Primavera,2006
4,591,Primavera,2006
5,591,Primavera,2006
6,709,Verano,2006
7,709,Verano,2006
8,709,Verano,2006
9,591,Otoño,2006
10,591,Otoño,2006
11,591,Otoño,2006
12,473,Invierno,2006
1,482,Invierno,2007
2,482,Invierno,2007
3,603,Primavera,2007
4,603,Primavera,2007
5,603,Primavera,2007
6,723,Verano,2007
7,723,Verano,2007
8,723,Verano,2007
9,603,Otoño,2007
10,603,Otoño,2007
11,603,Otoño,2007
12,482,Invierno,2007
1,492,Invierno,2008
2,492,Invierno,2008
3,615,Primavera,2008
4,615,Primavera,2008
5,615,Primavera,2008
6,738,Verano,2008
7,738,Verano,2008
8,738,Verano,2008
9,615,Otoño,2008
10,615,Otoño,2008
11,615,Otoño,2008
12,492,Invierno,2008
1,502,Invierno,2009
2,502,Invierno,2009
3,627,Primavera,2009
4,627,Primavera,2009
5,627,Primavera,2009
6,753,Verano,2009
7,753,Verano,2009
8,753,Verano,2009
9,627,Otoño,2009
10,627,Otoño,2009
11,627,Otoño,2009
12,502,Invierno,2009
1,512,Invierno,2010
2,512,Invierno,2010
3,640,Primavera,2010
4,640,Primavera,2010
5,640,Primavera,2010
6,768,Verano,2010
7,768,Verano,2010
8,768,Verano,2010
9,640,Otoño,2010
10,640,Otoño,2010
11,640,Otoño,2010
12,512,Invierno,2010
1,522,Invierno,2011
2,522,Invierno,2011
3,653,Primavera,2011
4,653,Primavera,2011
5,653,Primavera,2011
6,783,Verano,2011
7,783,Verano,2011
8,783,Verano,2011
9,653,Otoño,2011
10,653,Otoño,2011
11,653,Otoño,2011
12,522,Invierno,2011
1,533,Invierno,2012
2,533,Invierno,2012
3,666,Primavera,2012
4,666,Primavera,2012
5,666,Primavera,2012
6,799,Verano,2012
7,799,Verano,2012
8,799,Verano,2012
9,666,Otoño,2012
10,666,Otoño,2012
11,666,Otoño,2012
12,533,Invierno,2012
1,543,Invierno,2013
2,543,Invierno,2013
3,679,Primavera,2013
4,679,Primavera,2013
5,679,Primavera,2013
6,815,Verano,2013
7,815,Verano,2013
8,815,Verano,2013
9,679,Otoño,2013
10,679,Otoño,2013
11,679,Otoño,2013
12,543,Invierno,2013
1,554,Invierno,2014
2,554,Invierno,2014
3,693,Primavera,2014
4,693,Primavera,2014
5,693,Primavera,2014
6,831,Verano,2014
7,831,Verano,2014
8,831,Verano,2014
9,693,Otoño,2014
10,693,Otoño,2014
11,693,Otoño,2014
12,554,Invierno,2014
1,565,Invierno,2015
2,565,Invierno,2015
3,706,Primavera,2015
4,706,Primavera,2015
5,706,Primavera,2015
6,848,Verano,2015
7,848,Verano,2015
8,848,Verano,2015
9,706,Otoño,2015
10,706,Otoño,2015
11,706,Otoño,2015
12,565,Invierno,2015
1,576,Invierno,2016
2,576,Invierno,2016
3,721,Primavera,2016
4,721,Primavera,2016
5,721,Primavera,2016
6,865,Verano,2016
7,865,Verano,2016
8,865,Verano,2016
9,721,Otoño,2016
10,721,Otoño,2016
11,721,Otoño,2016
12,576,Invierno,2016
1,588,Invierno,2017
2,588,Invierno,2017
3,735,Primavera,2017
4,735,Primavera,2017
5,735,Primavera,2017
6,882,Verano,2017
7,882,Verano,2017
8,882,Verano,2017
9,735,Otoño,2017
10,735,Otoño,2017
11,735,Otoño,2017
12,588,Invierno,2017
1,600,Invierno,2018
2,600,Invierno,2018
3,750,Primavera,2018
4,750,Primavera,2018
5,750,Primavera,2018
6,900,Verano,2018
7,900,Verano,2018
8,900,Verano,2018
9,750,Otoño,2018
10,750,Otoño,2018
11,750,Otoño,2018
12,600,Invierno,2018
1,612,Invierno,2019
2,612,Invierno,2019
3,765,Primavera,2019
4,765,Primavera,2019
5,765,Primavera,2019
6,918,Verano,2019
7,918,Verano,2019
8,918,Verano,2019
9,765,Otoño,2019
10,765,Otoño,2019
11,765,Otoño,2019
12,612,Invierno,2019
1,624,Invierno,2020
2,624,Invierno,2020
3,780,Primavera,2020
4,780,Primavera,2020
5,780,Primavera,2020
6,936,Verano,2020
7,936,Verano,2020
8,936,Verano,2020
9,780,Otoño,2020
10,780,Otoño,2020
11,780,Otoño,2020
12,624,Invierno,2020
1,636,Invierno,2021
2,636,Invierno,2021
3,795,Primavera,2021
4,795,Primavera,2021
5,795,Primavera,2021
6,955,Verano,2021
7,955,Verano,2021
8,955,Verano,2021
9,795,Otoño,2021
10,795,Otoño,2021
11,795,Otoño,2021
12,636,Invierno,2021
1,649,Invierno,2022
2,649,Invierno,2022
3,811,Primavera,2022
4,811,Primavera,2022
5,811,Primavera,2022
6,974,Verano,2022
7,974,Verano,2022
8,974,Verano,2022
9,811,Otoño,2022
10,811,Otoño,2022
11,811,Otoño,2022
12,649,Invierno,2022
1,662,Invierno,2023
2,662,Invierno,2023
3,828,Primavera,2023
4,828,Primavera,2023
5,828,Primavera,2023
6,993,Verano,2023
7,993,Verano,2023
8,993,Verano,2023
9,828,Otoño,2023
10,828,Otoño,2023
11,828,Otoño,2023
12,662,Invierno,2023
1,675,Invierno,2024
2,675,Invierno,2024
3,844,Primavera,2024
4,844,Primavera,2024
5,844,Primavera,2024
6,1013,Verano,2024
7,1013,Verano,2024
8,1013,Verano,2024
9,844,Otoño,2024
10,844,Otoño,2024
11,844,Otoño,2024
12,675,Invierno,2024
